date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2015-08-18,1544,4948,3208720,648.488278092158,78698415.49887399841258008557,4377694725368.53,0.00477388586213952,0.005175782934901094103146754657,0.001205692772676,0.001307195910786449587213880212,11.906071340176042601,12.90840263964341512568549391,26162.8125,13.1557413926889,28365.36992650862306128125,26162.8125,28365.36992650862306128125,53.56374159,,0.004975937650241758,1.0841865692577441,,,72587521.12448,2494,2498,1355161.5136605,1469247.912285709010517563278,787.300486856734,853.5806138201540854200967338,7.87847178861323,8.541733299490500722239377214,1966676.616168120875916788,2132244.373322744194062794875,,,
2015-08-19,1592,5192,3392043,653.321070878274,90042355.91310521452296063115,4419573021824.62,0.00475383569608138,0.005894756263140912150767139216,0.001214038858221,0.001505408184194040242807771644,15.430950669480218002,19.1343788301554734086701339,27282.03125,13.7133765754266,33829.71875000000545640625,27282.03125,33829.71875000000545640625,70.25608785,,0.005457308071134186,1.2400000000000002,,,72614803.15573,3246,3214,1033573.10914207,1281630.655336167006714621828,449.800584222832,557.7527244363117699601168446,5.8565757635957,7.262153946858669171315152719,1445659.077692183254314354,1792617.256338307524481614498,,,
2015-08-20,1378,4024,2615975,650.093190854871,110537252.0325461857907580561,4469109431846.1,0.00297679849878715,0.004530091955454285763039549636,0.001184487761268,0.00180255347509764275534632838,6.855566942706630722,10.43280177341095268940968281,21057.03125,10.58129742866,32044.590156250006317109375,21057.03125,32044.590156250006317109375,181.9441914,,0.0064613404802510935,1.5218000000000003,,,72635860.18698,2303,2262,399220.550143735,607533.8332087360427661650431,209.653343754119,319.0504585250183570960031262,5,7.6090000000000015,474235.863571817882046363,721692.1371835925951689142849,,,
2015-08-21,1613,5088,3396674,667.585298742138,104334703.9086183278674897751,4415252643654.76,0.00200434848805963,0.002878003907035061123530302388,0.00105,0.00150767399999999979,7.855041724705318491,11.27889731166987114384873506,26690.9375,13.4074458393436,38324.9833374999946618125,26690.9375,38324.9833374999946618125,134.19700872,,0.006167853046626025,1.4358799999999998,,,72662551.12448,3919,3914,541461.779346481,777474.1397280250299876441307,154.351104314732,221.6296636634373532897791371,5,7.179399999999999,604130.222287859673575384,867458.5035786918272673779203,,,
2015-08-22,1594,5271,3415807,648.037753746917,101766142.2305220072690101593,4828340997895.12,0.0118880055405371,0.01664320775675194118880055405,0.00115196162067,0.001612746268938000115196162067,42.547171829582457556,59.56604056141544483311718296,27550.46875,13.8339620847174,38570.656250000002755046875,27550.46875,38570.656250000002755046875,165.81733297,,0.006070087661287272,1.4000000000000001,,,72690101.59323,3579,3592,438374.5673216,613724.3942502400438374567322,173.803038249196,243.3242535488744173803038249,4.41273073073,6.177823023022000441273073073,624300.513391112173579264,874020.7187475571054410209391,,,
2015-08-23,1794,5013,3411809,680.592260123678,98167082.2446105,5138351075672.98,0.00192118560212462,0.002593600562868237,0.00105,0.0014175,8.049767672901801716,10.8671863584174323166,26255.625,13.1790198128867,35445.09375,26255.625,35445.09375,157.86748625,,0.005903624667210908,1.35,,,72716357.21823,4190,4107,460616.425497691,621832.17442188285,122.987060597517,166.03253180664795,3.93334289,5.3100129015,505107.85787400074040873,681895.6081299009995517855,,,
2015-08-24,1622,5184,3486486,672.547453703704,90059598.5859762046512619001,5179118882691.49,0.00200277198100158,0.0024795118233591957026456038,0.00105,0.00129994199999999979,8.876285419798610754,10.98919640112747028262507604,27333.28125,13.7147944897315,33839.69551874999453334375,27333.28125,33839.69551874999453334375,192.19374885,,0.005841025879649361,1.2380399999999998,,,72743690.49948,4432,4428,378491.449046088,468587.5535770187118217101908,105.43701161085,130.5352378546967129125976778,3.02110179533,3.740244866690352595779640934,466875.087412845816160451,578010.0332205995408642672735,,,
2015-08-25,1779,5097,3464583,679.72984108299,92505038.5810480437,5173287673222.9,0.00184081921665048,0.0023400309800139236712,0.00105,0.0013347495,8.259755825110535782,10.49971900732226198072058,26736.09375,13.4102198868487,33986.6550140625,26736.09375,33986.6550140625,199.37600582,,0.005709235250801311,1.27119,,,72770426.59323,4487,4323,364990.893929769,463972.77445458305511,95.0418050318734,120.816192138467147346,3.72772149,4.7386422808731,410865.723152788519810049,522288.3986145932384973361883,,,
2015-08-26,1715,5003,3345268,668.652408554867,85899946.1831364,5587304091731.81,0.00179204265605326,0.0021146103341428468,0.00105,0.001239,7.447729278556984663,8.78832054869724190234,26137.96875,13.1055066281695,30842.803125,26137.96875,30842.803125,182.83349812,,0.0052185442255481395,1.18,,,72796564.56198,4156,4096,398157.697097503,469826.08257505354,109.956894460311,129.74913546316698,2.945554789895,3.4757546520761,450383.439709435860488061,531452.45885713431537591198,,,
2015-08-27,1751,4708,3332930,707.929056924384,82758264.3222015408,5925309861486,0.00155115617940755,0.001762826951649504273,0.00105,0.001193283,8.670963042887940562,9.85420265972042893109052,24532.8125,12.2965416415684,27880.56009375,24532.8125,27880.56009375,329.09256243,,0.005052283364867184,1.13646,,,72821097.37448,5590,5517,221278.465961811,251474.12542695972906,50.1742960190139,57.021080453768536794,2.54635842328953,2.8938344937316192638,276811.591136899477420057,314585.3008634407801087979782,,,
